Line 1 has 82 chars: 42 are letters (26 lower, 16 upper), 11 are digits.
Line 64 has 14 chars: 8 are letters (1 lower, 7 upper), 1 are digits.
Line 65 has 38 chars: 19 are letters (10 lower, 9 upper), 3 are digits.
Line 66 has 17 chars: 4 are letters (0 lower, 4 upper), 3 are digits.
Line 67 has 28 chars: 10 are letters (6 lower, 4 upper), 5 are digits.
Line 68 has 63 chars: 27 are letters (13 lower, 14 upper), 9 are digits.
Line 69 has 41 chars: 23 are letters (11 lower, 12 upper), 4 are digits.
Line 70 has 10 chars: 7 are letters (5 lower, 2 upper), 1 are digits.
Line 71 has 69 chars: 36 are letters (15 lower, 21 upper), 4 are digits.
Line 72 has 71 chars: 39 are letters (21 lower, 18 upper), 7 are digits.
Line 73 has 10 chars: 3 are letters (1 lower, 2 upper), 3 are digits.
Line 74 has 0 chars: 0 are letters (0 lower, 0 upper), 0 are digits.
Line 75 has 90 chars: 43 are letters (24 lower, 19 upper), 10 are digits.
Line 76 has 5 chars: 3 are letters (1 lower, 2 upper), 0 are digits.
Line 77 has 51 chars: 25 are letters (9 lower, 16 upper), 10 are digits.
Line 78 has 5 chars: 3 are letters (1 lower, 2 upper), 1 are digits.
Line 79 has 92 chars: 53 are letters (33 lower, 20 upper), 5 are digits.
Line 80 has 71 chars: 37 are letters (24 lower, 13 upper), 8 are digits.
Line 81 has 37 chars: 16 are letters (6 lower, 10 upper), 3 are digits.
Line 82 has 82 chars: 38 are letters (18 lower, 20 upper), 4 are digits.
Line 83 has 85 chars: 50 are letters (22 lower, 28 upper), 7 are digits.
Line 84 has 8 chars: 3 are letters (0 lower, 3 upper), 1 are digits.
Line 85 has 13 chars: 5 are letters (3 lower, 2 upper), 4 are digits.
Line 86 has 3 chars: 2 are letters (2 lower, 0 upper), 0 are digits.
Line 87 has 23 chars: 10 are letters (6 lower, 4 upper), 2 are digits.
Line 88 has 2 chars: 1 are letters (0 lower, 1 upper), 0 are digits.
Line 89 has 56 chars: 27 are letters (14 lower, 13 upper), 4 are digits.
Line 90 has 28 chars: 15 are letters (8 lower, 7 upper), 1 are digits.
Line 91 has 0 chars: 0 are letters (0 lower, 0 upper), 0 are digits.
Line 92 has 2 chars: 1 are letters (1 lower, 0 upper), 1 are digits.
Line 93 has 67 chars: 32 are letters (19 lower, 13 upper), 5 are digits.
Line 94 has 45 chars: 23 are letters (13 lower, 10 upper), 4 are digits.
Line 95 has 98 chars: 53 are letters (22 lower, 31 upper), 8 are digits.
Line 96 has 82 chars: 43 are letters (21 lower, 22 upper), 10 are digits.
Line 97 has 5 chars: 2 are letters (1 lower, 1 upper), 0 are digits.
Line 98 has 24 chars: 13 are letters (8 lower, 5 upper), 3 are digits.
Line 99 has 30 chars: 21 are letters (10 lower, 11 upper), 3 are digits.
Line 100 has 27 chars: 9 are letters (5 lower, 4 upper), 5 are digits.
